,name_model,n_bin,borders,oid,flare_start,threshold
60,RF,9,"(0.9199999999999999, 0.9099999999999999)",331215400140847,58658.26093,0.9106758155844611
61,RF,9,"(0.9199999999999999, 0.9099999999999999)",553206400016799,58781.34187,0.9128266389473709
62,RF,9,"(0.9199999999999999, 0.9099999999999999)",284212100111159,58718.2045,0.9179613922961514
63,RF,9,"(0.9199999999999999, 0.9099999999999999)",385202300096692,58726.17401,0.9122878313196178
64,RF,9,"(0.9199999999999999, 0.9099999999999999)",383208100095873,58696.20094,0.9138056948584311
65,RF,9,"(0.9199999999999999, 0.9099999999999999)",806209100045052,58473.26934,0.9122025133290821
66,RF,9,"(0.9199999999999999, 0.9099999999999999)",331204200111438,58661.24071,0.9137490114061485
67,RF,9,"(0.9199999999999999, 0.9099999999999999)",382201200068431,58658.26296,0.914668276480942
68,RF,9,"(0.9199999999999999, 0.9099999999999999)",384203100172812,58700.19882,0.9169126074544587
69,RF,9,"(0.9199999999999999, 0.9099999999999999)",748208100007395,58505.26086,0.9167633973999909
70,RF,10,"(0.9099999999999999, 0.8999999999999999)",436206300170420,58691.24024,0.9052330009927998
71,RF,10,"(0.9099999999999999, 0.8999999999999999)",502201100041674,58778.34099,0.9022565590785174
72,RF,10,"(0.9099999999999999, 0.8999999999999999)",564210400045106,58792.42903,0.9009273261918351
73,RF,10,"(0.9099999999999999, 0.8999999999999999)",537203300059066,58670.21703,0.9000562068438093
74,RF,10,"(0.9099999999999999, 0.8999999999999999)",438216200086426,58726.18068,0.908055738461107
75,RF,10,"(0.9099999999999999, 0.8999999999999999)",335215300080937,58720.20299,0.9028521716999772
76,RF,10,"(0.9099999999999999, 0.8999999999999999)",283213300112331,58311.26989,0.909382517216547
77,RF,10,"(0.9099999999999999, 0.8999999999999999)",640216400068145,58439.146,0.9072410164219478
78,RF,10,"(0.9099999999999999, 0.8999999999999999)",541215200091048,58726.18239,0.9016204174485982
79,RF,10,"(0.9099999999999999, 0.8999999999999999)",804215300025087,58480.20767,0.904696569552671
